ContextName	SamplesWithData	FeaturesWithData	Description
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V9-150nt-bd7d4d	263	5054	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Deblur-Illumina-16S-V4-200nt-05cde0	7009	73599	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 200)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V34-150nt-bd7d4d	72	2653	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-41ebc6	100	14434	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries
Deblur-Illumina-16S-V4-250nt-3b87d8	200	14911	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 250)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V6-8-150nt-bd7d4d	51	4250	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V4-100nt-a243a1	7493	29896	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-IonTorrent-16S-V3-150nt-bd7d4d	32	1008	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Deblur-Illumina-16S-V4-100nt-fbc5b2	179406	6297806	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 100)
Deblur-Illumina-16S-V3-90nt-99d1d8	1130	36905	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
Deblur-Illumina-16S-V3-150nt-780653	1139	9418	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 150)
